DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;ANIO;TOTAL_POBLACION;TOTAL_VIVIENDA;VIVIENDAS_HABITADAS;POBLACION_CON_COBERTURA;POBLACION_SIN_COBERTURA;FECHA_CORTE
CUSCO;ACOMAYO;ACOMAYO;80201;2019;14;4;4;14;0;20230810
CUSCO;ACOMAYO;ACOMAYO;80201;2019;16;6;2;16;0;20230810
CUSCO;ACOMAYO;ACOMAYO;80201;2019;50;24;18;50;0;20230810
CUSCO;ACOMAYO;ACOMAYO;80201;2019;60;26;26;60;0;20230810
CUSCO;CUSCO;CUSCO;80101;2018;250;52;52;250;0;20230810
CUSCO;CUSCO;CUSCO;80101;2018;30;8;5;30;0;20230810
CUSCO;CUSCO;CUSCO;80101;2018;240;48;48;240;0;20230810
CUSCO;CUSCO;CUSCO;80101;2018;100;20;20;90;10;20230810
CUSCO;CUSCO;CUSCO;80101;2018;550;116;110;550;0;20230810
CUSCO;CUSCO;CUSCO;80101;2018;50;10;10;50;0;20230810
CUSCO;CUSCO;CUSCO;80101;2018;550;120;110;550;0;20230810
CUSCO;CUSCO;CUSCO;80101;2018;300;60;60;300;0;20230810
CUSCO;CUSCO;CUSCO;80101;2018;350;70;70;310;40;20230810
CUSCO;CUSCO;CUSCO;80101;2018;300;60;55;300;0;20230810
CUSCO;CUSCO;CUSCO;80101;2018;90;18;18;90;0;20230810
CUSCO;CUSCO;CUSCO;80101;2018;50;10;10;50;0;20230810
CUSCO;CUSCO;CUSCO;80101;2018;1000;200;200;1000;0;20230810
CUSCO;CUSCO;CUSCO;80101;2018;385;77;77;385;0;20230810
CUSCO;CUSCO;CUSCO;80101;2018;80;33;33;80;0;20230810
CUSCO;CUSCO;CUSCO;80101;2018;150;30;30;150;0;20230810
CUSCO;CUSCO;SAN SEBASTIAN;80105;2018;1550;310;310;1550;0;20230810
CUSCO;CUSCO;SAN SEBASTIAN;80105;2018;205;41;41;205;0;20230810
CUSCO;CUSCO;SAN SEBASTIAN;80105;2018;720;180;180;180;540;20230810
CUSCO;CUSCO;SAN SEBASTIAN;80105;2018;140;45;28;140;0;20230810
CUSCO;CUSCO;SAN SEBASTIAN;80105;2018;1000;200;150;1000;0;20230810
CUSCO;CUSCO;SAN SEBASTIAN;80105;2018;192;62;48;62;130;20230810
CUSCO;ACOMAYO;ACOMAYO;80201;2019;90;30;30;85;5;20230810
CUSCO;ACOMAYO;ACOMAYO;80201;2019;5;3;3;5;0;20230810
CUSCO;ACOMAYO;ACOS;80203;2019;42;20;18;42;0;20230810
CUSCO;ACOMAYO;ACOS;80203;2019;231;220;85;231;0;20230810
CUSCO;ACOMAYO;ACOS;80203;2019;21;12;11;21;0;20230810
CUSCO;ACOMAYO;POMACANCHI;80205;2018;430;205;110;430;0;20230810
CUSCO;ACOMAYO;POMACANCHI;80205;2018;85;20;17;85;0;20230810
CUSCO;ACOMAYO;POMACANCHI;80205;2019;168;53;42;168;0;20230810
CUSCO;ACOMAYO;POMACANCHI;80205;2019;32;20;20;20;12;20230810
CUSCO;ACOMAYO;POMACANCHI;80205;2018;120;39;39;120;0;20230810
CUSCO;ACOMAYO;POMACANCHI;80205;2018;20;5;5;20;0;20230810
CUSCO;ACOMAYO;POMACANCHI;80205;2018;74;23;20;52;22;20230810
CUSCO;ACOMAYO;POMACANCHI;80205;2019;300;105;105;300;0;20230810
CUSCO;ACOMAYO;POMACANCHI;80205;2018;494;140;125;439;55;20230810
CUSCO;ACOMAYO;POMACANCHI;80205;2018;273;95;94;273;0;20230810
CUSCO;ACOMAYO;POMACANCHI;80205;2018;35;8;7;35;0;20230810
CUSCO;ACOMAYO;POMACANCHI;80205;2018;5052;1850;1795;5052;0;20230810
CUSCO;ACOMAYO;POMACANCHI;80205;2018;413;250;135;413;0;20230810
CUSCO;ACOMAYO;POMACANCHI;80205;2018;60;17;16;60;0;20230810
CUSCO;ACOMAYO;POMACANCHI;80205;2018;18;5;5;18;0;20230810
CUSCO;ACOMAYO;POMACANCHI;80205;2018;90;30;25;90;0;20230810
CUSCO;ACOMAYO;POMACANCHI;80205;2019;120;90;47;120;0;20230810
CUSCO;CUSCO;SAN SEBASTIAN;80105;2018;215;70;70;215;0;20230810
CUSCO;CUSCO;CCORCA;80102;2019;240;87;87;240;0;20230810
CUSCO;CUSCO;CCORCA;80102;2019;90;36;28;90;0;20230810
CUSCO;CUSCO;CCORCA;80102;2019;45;21;14;45;0;20230810
CUSCO;CUSCO;CCORCA;80102;2019;45;14;14;45;0;20230810
CUSCO;CUSCO;CCORCA;80102;2019;196;66;60;196;0;20230810
CUSCO;CUSCO;CCORCA;80102;2019;397;150;120;397;0;20230810
CUSCO;CUSCO;CCORCA;80102;2018;615;128;123;615;0;20230810
CUSCO;CUSCO;CCORCA;80102;2019;12;32;5;12;0;20230810
CUSCO;CUSCO;CCORCA;80102;2019;240;80;77;240;0;20230810
CUSCO;CUSCO;CCORCA;80102;2019;28;12;10;28;0;20230810
CUSCO;CUSCO;CCORCA;80102;2019;287;85;85;287;0;20230810
CUSCO;CUSCO;CCORCA;80102;2019;66;20;18;66;0;20230810
CUSCO;CUSCO;CCORCA;80102;2019;80;24;24;80;0;20230810
CUSCO;CUSCO;CCORCA;80102;2019;47;13;13;47;0;20230810
CUSCO;CUSCO;CCORCA;80102;2019;42;20;17;42;0;20230810
CUSCO;CUSCO;CCORCA;80102;2019;369;135;122;369;0;20230810
CUSCO;CUSCO;SAYLLA;80107;2019;580;145;145;580;0;20230810
CUSCO;CUSCO;SAYLLA;80107;2019;700;140;140;700;0;20230810
CUSCO;CUSCO;SAYLLA;80107;2019;400;80;80;400;0;20230810
CUSCO;CUSCO;SAYLLA;80107;2019;128;32;32;128;0;20230810
CUSCO;CUSCO;SAYLLA;80107;2019;375;75;72;375;0;20230810
CUSCO;CANAS;YANAOCA;80501;2019;100;20;20;100;0;20230810
CUSCO;CANAS;YANAOCA;80501;2019;88;22;22;88;0;20230810
CUSCO;CANAS;YANAOCA;80501;2019;250;52;49;250;0;20230810
CUSCO;CANAS;YANAOCA;80501;2019;260;60;55;260;0;20230810
CUSCO;CANAS;YANAOCA;80501;2019;120;42;40;120;0;20230810
CUSCO;CANAS;YANAOCA;80501;2019;100;30;25;100;0;20230810
CUSCO;CANAS;YANAOCA;80501;2019;364;75;72;115;249;20230810
CUSCO;CANAS;YANAOCA;80501;2019;620;155;153;620;0;20230810
CUSCO;CANAS;YANAOCA;80501;2019;100;22;20;100;0;20230810
CUSCO;CANAS;YANAOCA;80501;2019;100;33;27;63;37;20230810
CUSCO;CANAS;YANAOCA;80501;2019;350;120;110;300;50;20230810
CUSCO;CANAS;YANAOCA;80501;2019;250;140;90;210;40;20230810
CUSCO;CANAS;YANAOCA;80501;2019;355;110;98;355;0;20230810
CUSCO;CANAS;YANAOCA;80501;2019;350;94;28;350;0;20230810
CUSCO;CANAS;YANAOCA;80501;2019;60;17;15;40;20;20230810
CUSCO;CANAS;YANAOCA;80501;2019;160;44;43;160;0;20230810
CUSCO;CANAS;YANAOCA;80501;2019;150;65;58;150;0;20230810
CUSCO;CANAS;YANAOCA;80501;2019;208;52;52;208;0;20230810
CUSCO;CANAS;YANAOCA;80501;2019;16;5;4;16;0;20230810
CUSCO;CANAS;YANAOCA;80501;2019;102;34;33;102;0;20230810
CUSCO;CANAS;YANAOCA;80501;2019;350;65;65;334;16;20230810
CUSCO;CANAS;YANAOCA;80501;2019;320;82;81;320;0;20230810
CUSCO;ACOMAYO;POMACANCHI;80205;2018;495;125;99;495;0;20230810
CUSCO;ACOMAYO;POMACANCHI;80205;2019;34;17;15;34;0;20230810
CUSCO;ACOMAYO;POMACANCHI;80205;2019;340;73;68;340;0;20230810
CUSCO;ACOMAYO;ACOMAYO;80201;2019;89;32;28;89;0;20230810
CUSCO;ACOMAYO;ACOMAYO;80201;2019;129;39;32;129;0;20230810
CUSCO;ACOMAYO;ACOMAYO;80201;2019;8;5;5;8;0;20230810
CUSCO;ACOMAYO;ACOMAYO;80201;2019;65;20;17;65;0;20230810
CUSCO;ACOMAYO;ACOMAYO;80201;2019;22;6;6;22;0;20230810
CUSCO;ACOMAYO;ACOMAYO;80201;2019;40;12;12;40;0;20230810
CUSCO;ACOMAYO;ACOMAYO;80201;2019;11;3;3;11;0;20230810
CUSCO;ACOMAYO;ACOMAYO;80201;2019;28;14;14;28;0;20230810
CUSCO;ACOMAYO;ACOMAYO;80201;2019;59;22;20;59;0;20230810
CUSCO;ACOMAYO;ACOMAYO;80201;2019;80;20;17;80;0;20230810
CUSCO;ACOMAYO;ACOMAYO;80201;2019;538;115;112;538;0;20230810
CUSCO;ACOMAYO;ACOMAYO;80201;2019;11;5;5;11;0;20230810
CUSCO;ACOMAYO;ACOMAYO;80201;2018;358;200;200;358;0;20230810
CUSCO;ACOMAYO;MOSOC LLACTA;80204;2019;168;42;42;168;0;20230810
CUSCO;ACOMAYO;MOSOC LLACTA;80204;2018;15;20;10;;;20230810
CUSCO;ACOMAYO;MOSOC LLACTA;80204;2019;12;3;3;12;0;20230810
CUSCO;ACOMAYO;MOSOC LLACTA;80204;2019;50;11;11;50;0;20230810
CUSCO;ACOMAYO;MOSOC LLACTA;80204;2019;642;183;183;642;0;20230810
CUSCO;ACOMAYO;MOSOC LLACTA;80204;2019;62;30;30;62;0;20230810
CUSCO;ACOMAYO;MOSOC LLACTA;80204;2019;15;4;4;15;0;20230810
CUSCO;ACOMAYO;MOSOC LLACTA;80204;2019;37;11;11;37;0;20230810
CUSCO;ACOMAYO;MOSOC LLACTA;80204;2019;67;17;17;67;0;20230810
CUSCO;ACOMAYO;SANGARARA;80207;2018;1720;520;430;1720;0;20230810
CUSCO;ACOMAYO;POMACANCHI;80205;2018;316;82;79;316;0;20230810
CUSCO;ACOMAYO;POMACANCHI;80205;2018;57;22;21;57;0;20230810
CUSCO;ACOMAYO;POMACANCHI;80205;2019;250;130;90;250;0;20230810
CUSCO;ACOMAYO;POMACANCHI;80205;2018;528;138;132;528;0;20230810
CUSCO;ACOMAYO;POMACANCHI;80205;2018;40;11;11;40;0;20230810
CUSCO;ACOMAYO;POMACANCHI;80205;2019;395;85;78;395;0;20230810
CUSCO;ACOMAYO;RONDOCAN;80206;2019;87;65;45;87;0;20230810
CUSCO;ACOMAYO;RONDOCAN;80206;2019;215;85;80;215;0;20230810
CUSCO;ACOMAYO;RONDOCAN;80206;2019;98;42;36;90;8;20230810
CUSCO;ACOMAYO;RONDOCAN;80206;2019;19;7;5;19;0;20230810
CUSCO;ACOMAYO;RONDOCAN;80206;2019;26;10;8;26;0;20230810
CUSCO;ACOMAYO;RONDOCAN;80206;2019;32;22;16;20;12;20230810
CUSCO;ACOMAYO;RONDOCAN;80206;2019;45;10;9;45;0;20230810
CUSCO;ACOMAYO;RONDOCAN;80206;2019;260;78;70;260;0;20230810
CUSCO;ACOMAYO;RONDOCAN;80206;2019;15;11;10;13;2;20230810
CUSCO;ACOMAYO;RONDOCAN;80206;2019;181;66;60;181;0;20230810
CUSCO;ACOMAYO;RONDOCAN;80206;2019;520;130;115;520;0;20230810
CUSCO;ACOMAYO;RONDOCAN;80206;2019;154;72;58;154;0;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2018;50;14;14;50;0;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2019;8;30;4;6;2;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2018;65;15;14;65;0;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2018;110;35;35;110;0;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2019;250;75;70;250;0;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2018;420;100;100;420;0;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2018;27;8;7;27;0;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2018;40;14;14;40;0;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2019;30;41;20;30;0;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2018;280;79;75;280;0;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2018;83;41;41;83;0;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2019;20;28;15;15;5;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2019;10;10;5;10;0;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2018;880;226;206;880;0;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2018;40;15;15;40;0;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2019;207;70;60;207;0;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2018;41;15;13;40;1;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2018;90;28;24;90;0;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2018;51;14;12;51;0;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2018;19;10;9;19;0;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2018;55;25;21;55;0;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2018;18;6;6;18;0;20230810
CUSCO;ACOMAYO;RONDOCAN;80206;2019;26;7;6;26;0;20230810
CUSCO;ACOMAYO;RONDOCAN;80206;2019;22;10;9;22;0;20230810
CUSCO;ACOMAYO;RONDOCAN;80206;2019;211;72;65;211;0;20230810
CUSCO;ACOMAYO;RONDOCAN;80206;2019;25;11;10;25;0;20230810
CUSCO;ACOMAYO;RONDOCAN;80206;2019;70;38;31;70;0;20230810
CUSCO;ACOMAYO;SANGARARA;80207;2018;1875;732;375;1875;0;20230810
CUSCO;ACOMAYO;SANGARARA;80207;2018;380;110;95;380;0;20230810
CUSCO;ACOMAYO;SANGARARA;80207;2018;550;160;110;550;0;20230810
CUSCO;ACOMAYO;SANGARARA;80207;2018;180;120;100;180;0;20230810
CUSCO;CALCA;LAMAY;80403;2018;125;25;25;125;0;20230810
CUSCO;CALCA;LAMAY;80403;2018;48;12;12;48;0;20230810
CUSCO;CALCA;LAMAY;80403;2018;250;60;50;250;0;20230810
CUSCO;CALCA;LAMAY;80403;2018;350;70;66;350;0;20230810
CUSCO;CALCA;LAMAY;80403;2018;75;15;15;75;0;20230810
CUSCO;CALCA;LAMAY;80403;2019;287;72;72;287;0;20230810
CUSCO;CALCA;LAMAY;80403;2018;250;50;50;250;0;20230810
CUSCO;CALCA;LAMAY;80403;2018;190;38;38;190;0;20230810
CUSCO;CALCA;LAMAY;80403;2018;675;135;135;675;0;20230810
CUSCO;CALCA;LAMAY;80403;2019;30;10;10;;;20230810
CUSCO;CALCA;LAMAY;80403;2018;3080;758;758;3080;0;20230810
CUSCO;CALCA;LAMAY;80403;2019;530;154;134;530;0;20230810
CUSCO;CALCA;LAMAY;80403;2019;391;98;98;391;0;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2019;32;19;19;15;17;20230810
CUSCO;ANTA;HUAROCONDO;80305;2019;2237;557;550;2237;0;20230810
CUSCO;ANTA;HUAROCONDO;80305;2019;120;34;34;120;0;20230810
CUSCO;ANTA;HUAROCONDO;80305;2019;72;18;18;72;0;20230810
CUSCO;ANTA;HUAROCONDO;80305;2019;205;41;41;205;0;20230810
CUSCO;ANTA;HUAROCONDO;80305;2019;200;82;82;200;0;20230810
CUSCO;ANTA;HUAROCONDO;80305;2019;250;50;50;250;0;20230810
CUSCO;ANTA;HUAROCONDO;80305;2019;420;100;100;420;0;20230810
CUSCO;ANTA;HUAROCONDO;80305;2019;10;3;3;10;0;20230810
CUSCO;ANTA;HUAROCONDO;80305;2019;70;14;14;70;0;20230810
CUSCO;ANTA;HUAROCONDO;80305;2019;83;17;17;83;0;20230810
CUSCO;ANTA;HUAROCONDO;80305;2019;45;11;10;45;0;20230810
CUSCO;ANTA;HUAROCONDO;80305;2019;60;12;12;60;0;20230810
CUSCO;ANTA;HUAROCONDO;80305;2019;45;10;10;27;18;20230810
CUSCO;ANTA;HUAROCONDO;80305;2019;56;14;14;56;0;20230810
CUSCO;ANTA;HUAROCONDO;80305;2019;300;70;60;300;0;20230810
CUSCO;ANTA;HUAROCONDO;80305;2019;15;4;4;15;0;20230810
CUSCO;ANTA;HUAROCONDO;80305;2019;16;5;5;16;0;20230810
CUSCO;ANTA;HUAROCONDO;80305;2019;16;4;4;16;0;20230810
CUSCO;ANTA;HUAROCONDO;80305;2019;60;15;15;60;0;20230810
CUSCO;ANTA;HUAROCONDO;80305;2019;56;16;14;56;0;20230810
CUSCO;ANTA;HUAROCONDO;80305;2019;192;52;52;192;0;20230810
CUSCO;CALCA;LAMAY;80403;2019;21;7;7;21;0;20230810
CUSCO;CALCA;LAMAY;80403;2018;185;37;37;175;10;20230810
CUSCO;CALCA;LAMAY;80403;2018;40;10;10;40;0;20230810
CUSCO;CALCA;LAMAY;80403;2018;160;40;40;160;0;20230810
CUSCO;CALCA;LAMAY;80403;2018;90;18;18;90;0;20230810
CUSCO;CALCA;LAMAY;80403;2018;20;5;5;20;0;20230810
CUSCO;CALCA;CALCA;80401;2018;536;192;182;536;0;20230810
CUSCO;CALCA;CALCA;80401;2018;160;32;32;160;0;20230810
CUSCO;CALCA;CALCA;80401;2018;142;32;32;142;0;20230810
CUSCO;CALCA;CALCA;80401;2018;57;10;10;57;0;20230810
CUSCO;CALCA;CALCA;80401;2019;39;39;39;39;0;20230810
CUSCO;CALCA;CALCA;80401;2018;52;13;13;52;0;20230810
CUSCO;CALCA;CALCA;80401;2018;45;20;17;45;0;20230810
CUSCO;CALCA;CALCA;80401;2018;160;32;32;160;0;20230810
CUSCO;CALCA;CALCA;80401;2018;34;8;8;34;0;20230810
CUSCO;CALCA;CALCA;80401;2018;82;22;18;82;0;20230810
CUSCO;CALCA;CALCA;80401;2019;35;7;7;25;10;20230810
CUSCO;CALCA;CALCA;80401;2019;69;23;20;60;9;20230810
CUSCO;CALCA;CALCA;80401;2018;536;192;182;536;0;20230810
CUSCO;CALCA;CALCA;80401;2019;220;75;75;220;0;20230810
CUSCO;CALCA;CALCA;80401;2019;28;8;5;28;0;20230810
CUSCO;CALCA;CALCA;80401;2019;327;89;85;327;0;20230810
CUSCO;ANTA;HUAROCONDO;80305;2019;95;43;43;95;0;20230810
CUSCO;ANTA;HUAROCONDO;80305;2019;10;4;4;10;0;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2019;6;10;8;6;0;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2018;87;37;37;87;0;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2018;260;70;60;260;0;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2019;25;26;20;20;5;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2019;25;10;8;8;17;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2018;55;34;21;55;0;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2018;95;40;37;95;0;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2019;305;109;100;100;205;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2018;85;30;25;85;0;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2019;19;19;18;15;4;20230810
CUSCO;ANTA;CHINCHAYPUJIO;80304;2019;57;50;30;25;32;20230810
